name,sport,nationality,continent,year,event,feat,genre,image_name,info
Margaret Abbott,Golf,Etats-Unis,Amerique du Nord,1900,Individuel,Titre; participation,Feminin,margaret_abott.jpeg,"Première américaine championne olympique (sans le savoir) - Plus jeune golfeuse titrée

Margaret Abbott naît en 1878 à Calcutta dans une colonie britannique. Après la mort de son père en 1879, sa famille s’installe à Boston puis à Chicago. Là-bas, elle commence le golf avec sa mère. Dès 1897, Margaret remporte des tournois locaux, toujours associés avec Charles MacDonald (sans lui, elle ne peut participer). En 1900, elle part à Paris pour accompagner sa mère dans l’écriture d’un guide touristique. Durant son voyage, la famille apprend l’organisation d’un grand tournoi de golf en lisant le journal. Margaret s’inscrit et gagne le tournoi haut la main. Elle repart avec un bol en porcelaine monté d’or, sans se douter qu’elle était championne olympique. Un an plus tard, elle repart aux Etat-Unis pour épouser Peter Dunne puis reprend son train de vie. En 1955, à 77 ans, elle laisse son dernier souffle sans rien savoir. C’est en 1973 que Paula Welch retrouve son nom par hasard. Pendant une décennie, la chercheuse étudie les succès d'Abbott. Au milieu des années 80, Welsh révèle cette information à son fils Philip. Il déclare plus tard : « Ce n'est pas tous les jours que vous apprenez que votre mère était une championne olympique, quelque 80 ans après les faits. La championne elle-même nous avait seulement dit qu'elle avait gagné le championnat de golf de Paris » 

Palmarès :
1x Championne olympique
1x Championne de France
Plusieurs victoires lors de tournois locaux"
Mary Abbott,Golf,Etats-Unis,Amerique du Nord,1900,Individuel,Participation,Feminin,mary_abbott.jpg,"Première mère qui a concouru contre sa fille, toute épreuve confondue

Mary Abbott naît en 1857 dans le Massachusetts. Vers ses 18 ans, elle épouse Charles puis s'installe à Calcutta. Là-bas, elle donne naissance à trois enfants dont Margaret. A la mort de son mari, en 1879, Mary retourne vivre aux Etats-Unis chez son frère. A Chicago, elle commence à écrire des livres et des critiques pour pouvoir subvenir aux besoins de la famille. Entre deux publications, Mary pratique le golf avec sa fille Margaret. En 1900, lors d’un voyage à Paris, sa fille lit une annonce de journal parlant d’un grand tournoi de golf. Elles décident de s’y inscrire. L’Américaine finit 7e tandis que sa fille remporte le titre. A ce moment-là, aucune des deux n’avaient conscience qu’elles avaient participé aux Jeux Olympiques. En 1901, elle retourne aux Etats-Unis où elle lâchera son dernier souffle trois ans plus tard. C’est vers 1985, que sa famille découvre, par Paula Welsh, que Mary et Margaret sont les premières américaines à avoir participé aux Jeux Olympiques."
Jeanne Froment-Meurice,Golf,France,Europe,1900,Individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg,"Première française à participer aux Jeux

Jeanne Froment-Meurice naît en 1878 dans une colonie algérienne. Quelques années plus tard, elle rentre en France. Là-bas, elle épouse Jacques, le futur juge de clôture des Jeux Olympiques de Paris. En 1900, Jeanne est déjà une golfeuse expérimentée du club de Compiègne. Elle apprend que le tournoi olympique a lieu chez elle. Elle s’y inscrit et finit 4e du tournoi, devancée par trois américaines. Jeanne reprend son quotidien et meurt en 1965 à Versailles."
Lucile De Fain,Golf,France,Europe,1900,Individuel,Participation,Feminin,lucile_de_fain.jpg,"Première française à participer aux Jeux

Lucile de Fain naît en 1967 et hérite directement le titre de baronne*. Elle grandit dans la région bourguignonne. C’est plus tard, qu'elle y découvre le golf à Compiègne. En 1900, son club organise le tournoi olympique. Lucile s’y inscrit. Elle termine l’épreuve à la 7e place. Elle lâche son dernier souffle en 1942.

*Elle est la décente d’Agathon Fain, un célèbre historien du début du XIXe siècle  "
Madeleine Fournier-Sarlovèze,Golf,France,Europe,1900,Individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg,"Première française à participer aux Jeux

Madeleine est une golfeuse française née en 1873 dans l’Oise. Fin des années 1890, elle épouse Robert Fournier-Sarlovèze, futur maire de Compiègne. C’est ici qu’elle s’inscrit au golf. En 1900, elle apprend que le tournoi olympique à lieu dans son club. Alors tout naturellement, Madeleine s’inscrit. Elle termine l’épreuve à la sixième place. Elle meurt en 1962 dans cette ville où elle a découvert les Jeux."
Marie Brun,Golf,France,Europe,1900,Individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg,"Première française à participer aux Jeux

Marie Brun naît en 1858 en Italie dans une famille de grands diplomates. Régulièrement, elle est amenée à déménager. C’est donc à Compiègne s’inscrit dans un club de golf. En 1900, celui-ci organise le tournoi olympique. Marie s’y inscrit avec six de ses compères. Elle termine à la dixième et dernière place. Elle décède à Paris en 1935."
Rose Gelbert,Golf,France,Europe,1900,Individuel,Participation,Feminin,paris_1900_golf_two_competitors_next_to_the_same_hole.jpg,"Première française à participer aux Jeux

Rose Gelbert naît en 1874 dans la région parisienne. Elle découvre le golf à Compiègne. Elle joue régulièrement avec sa belle-sœur Jeanne Froment-Meurice. Ensemble, les golfeuses participent au tournoi olympique. Celui-ci se déroule chez elles à Compiègne. Rose termine neuvième, à l’avant-dernière place. Elle lâche son dernier souffle en 1956."
Asheilgh Simon,Golf,Afrique du Sud,Afrique,2016,Individuel,Participation,Feminin,ashleigh_simon.jpg,"Seule golfeuse sud africaine à participer

Ashleigh Simon est une golfeuse professionnelle née en 1989 à Johannesburg. Dès son plus jeune âge, elle se met au golf. Elle se révèle brillante devenant même la plus jeune joueuse à remporter la South African Amant Stroke Play et le Match Play. Alors en 2007, à 18 ans, Ashleigh se lance dans une carrière professionnelle. Ses débuts son promoteur. Elle devient notamment la plus jeune lauréate du Ladies European Tour. Sa carrière est décousue, ne remportant que quelques tournois mineurs. En 2016, Ashleigh est qualifiée aux Jeux Olympique où elle termine 50e. Après ce tournoi, elle galère toujours. En août 2022, à 33 ans, elle décroche son premier et unique trophée majeur : le British Open. Aujourd’hui, elle continue sa carrière  se classant dans le top 50 mondiale.

Palmarès :
1x Women’s British Open
1x ShopRite LPGA Classic, 2x Tournoi du circuit africain de la LPGA, 12x Tournoi du circuit Sunshine LPGA
1x AIG Women’s Open, 2x ISPS Handa Women's Australian Open, 2x Acer South African Women's Open
4x South African Amateur Stroke Play, 3x South African Amateur Match Play
1x AJGA Rolex tournament of champions "
Paula Reto,Golf,Afrique du Sud,Afrique,2016,Individuel,Participation,Feminin,paula_reto.jpg,"Seule golfeuse sud africaine à participer

Paula Reto est née en 1990 en Afrique du Sud. Dans son enfance elle pratique de nombreux sports (hockey sur gazon, la course à pied…) avant de découvrir le golf en 2005. Rapidement, elle y prend goût. De 2009 à 2013, pour s’améliorer, Paula part aux Etats-Unis pour participer aux championnats NCAA. Elle devient joueuse régulièrement mais glane rarement les victoires. Après son cursus universitaire, elle décide de rejoindre le monde professionnel participant à ses premiers tournois LPGA. Paula est régulièrement bien classée mais n’atteint jamais la victoire. En 2016, elle est qualifiée pour les Jeux Olympiques où elle termine 16e. En 2021, elle est de nouveau qualifiée mais doit faire l’impasse dû au protocole COVID-19. L’année suivante, Paula décroche enfin son premier titre, l’Open du Canada. Aujourd’hui, en 2024, la golfeuse est classée dans le top 250 mondiale.

Palmarès :
2x Dixie Amateur Championship
1x Canadian Women's Open
1x SuperSport Ladies Challenge"
Maha Haddidioui,Golf,Maroc,Afrique,2016,Individuel,Participation,Feminin,maha_haddidioui.jpg,"Première golfeuse marocaine à participer

Maha Haddioui est une golfeuse marocaine née en 1988 à Casablanca. Là-bas, elle y découvre le golf. Quelques années plus tard, elle décide de rejoindre l’Université Lynn pour participer à la deuxième division de la NCAA. Après son cursus, Maha décide de passer professionnelle devenant au passage la première arabe à participer aux tournois LPGA. En 2016, elle se qualifie pour les Jeux Olympiques où elle termine à la dernière place. Cinq plus tard, Maha fait son retour au tournoi olympique. Cette fois, elle s’améliore et se classe à la 43e place. Depuis son début de carrière, la Marocaine n'a réalisé que quatre top 10. Elle se classe actuellement dans le top 700 mondiale."
